time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
178.0,1.35998E-05,0.125865,0.00130156,0.125865,101325,103513,298.15,364.36,362.55,0,0,1057.02,0,8.51251,0,0,0.5,0.502009,0,0,0,0,104504
180.0,1.35998E-05,0.129927,0.00129692,0.129927,101325,103513,298.15,364.365,362.619,0,0,1057.02,0,8.51251,0,0,0.5,0.502018,0,0,0,0,104536
182.0,1.35998E-05,0.133988,0.00129215,0.133988,101325,103513,298.15,364.371,362.684,0,0,1057.02,0,8.51251,0,0,0.5,0.502026,0,0,0,0,104568
184.0,1.35998E-05,0.138049,0.00128726,0.138049,101325,103512,298.15,364.376,362.746,0,0,1057.02,0,8.51251,0,0,0.5,0.502035,0,0,0,0,104600
186.0,1.35998E-05,0.14211,0.00128224,0.14211,101325,103512,298.15,364.382,362.806,0,0,1057.02,0,8.51251,0,0,0.5,0.502043,0,0,0,0,104631
188.0,1.35998E-05,0.146172,0.0012771,0.146172,101325,103512,298.15,364.388,362.863,0,0,1057.02,0,8.51251,0,0,0.5,0.502051,0,0,0,0,104663
190.0,1.35998E-05,0.150232,0.00127183,0.150232,101325,103512,298.15,364.395,362.918,0,0,1057.02,0,8.51251,0,0,0.5,0.502059,0,0,0,0,104694
192.0,1.35998E-05,0.154293,0.00126644,0.154293,101325,103511,298.15,364.401,362.97,0,0,1057.02,0,8.51251,0,0,0.5,0.502067,0,0,0,0,104726
194.0,1.35998E-05,0.158354,0.00126093,0.158354,101325,103511,298.15,364.407,363.02,0,0,1057.02,0,8.51251,0,0,0.5,0.502074,0,0,0,0,104757
196.0,1.35998E-05,0.162414,0.0012553,0.162414,101325,103510,298.15,364.414,363.069,0,0,1057.02,0,8.51251,0,0,0.5,0.502082,0,0,0,0,104789
198.0,1.35998E-05,0.166475,0.00124954,0.166475,101325,103510,298.15,364.421,363.115,0,0,1057.02,0,8.51251,0,0,0.5,0.50209,0,0,0,0,104820
200.0,1.35998E-05,0.170535,0.00124367,0.170535,101325,103510,298.15,364.427,363.16,0,0,1057.02,0,8.51251,0,0,0.5,0.502097,0,0,0,0,104852
202.0,1.35998E-05,0.174595,0.00123767,0.174595,101325,103509,298.15,364.434,363.203,0,0,1057.02,0,8.51251,0,0,0.5,0.502104,0,0,0,0,104884
204.0,1.35998E-05,0.178655,0.00123156,0.178655,101325,103509,298.15,364.441,363.245,0,0,1057.02,0,8.51251,0,0,0.5,0.502111,0,0,0,0,104915
206.0,1.35998E-05,0.182715,0.00122534,0.182715,101325,103509,298.15,364.447,363.285,0,0,1057.02,0,8.51251,0,0,0.5,0.502119,0,0,0,0,104947
208.0,1.35998E-05,0.186774,0.00121899,0.186774,101325,103508,298.15,364.454,363.323,0,0,1057.02,0,8.51251,0,0,0.5,0.502126,0,0,0,0,104978
210.0,1.35998E-05,0.190834,0.00121254,0.190834,101325,103508,298.15,364.461,363.36,0,0,1057.02,0,8.51251,0,0,0.5,0.502133,0,0,0,0,105010
212.0,1.35998E-05,0.194893,0.00120597,0.194893,101325,103507,298.15,364.468,363.396,0,0,1057.02,0,8.51251,0,0,0.5,0.502139,0,0,0,0,105041
214.0,1.35998E-05,0.198952,0.0011993,0.198952,101325,103507,298.15,364.475,363.431,0,0,1057.02,0,8.51251,0,0,0.5,0.502146,0,0,0,0,105073
216.0,1.35998E-05,0.203011,0.00119252,0.203011,101325,103507,298.15,364.481,363.464,0,0,1057.02,0,8.51251,0,0,0.5,0.502153,0,0,0,0,105104
218.0,1.35998E-05,0.207069,0.00118563,0.207069,101325,103506,298.15,364.488,363.497,0,0,1057.02,0,8.51251,0,0,0.5,0.502159,0,0,0,0,105136
220.0,1.35998E-05,0.211128,0.00117863,0.211128,101325,103506,298.15,364.495,363.528,0,0,1057.02,0,8.51251,0,0,0.5,0.502166,0,0,0,0,105167
222.0,1.35998E-05,0.215186,0.00117154,0.215186,101325,103506,298.15,364.502,363.558,0,0,1057.02,0,8.51251,0,0,0.5,0.502172,0,0,0,0,105199
224.0,1.35998E-05,0.219244,0.00116434,0.219244,101325,103505,298.15,364.509,363.588,0,0,1057.02,0,8.51251,0,0,0.5,0.502179,0,0,0,0,105230
226.0,1.35998E-05,0.223302,0.00115705,0.223302,101325,103505,298.15,364.515,363.616,0,0,1057.02,0,8.51251,0,0,0.5,0.502185,0,0,0,0,105262
228.0,1.35998E-05,0.227359,0.00114966,0.227359,101325,103505,298.15,364.522,363.643,0,0,1057.02,0,8.51251,0,0,0.5,0.502191,0,0,0,0,105293
230.0,1.35998E-05,0.231417,0.00114218,0.231417,101325,103504,298.15,364.529,363.67,0,0,1057.02,0,8.51251,0,0,0.5,0.502197,0,0,0,0,105325
